experiment_id,initialization_timestamp,artifact_time_stamp,running_status,start_time,stop_time,execution_time,message,experiment_file_path,accuracy,is_model_accepted,created_time_stamp
b44027fa-9510-4967-b3fa-81f203d9ce20,2022-09-13-21-28-12,2022-09-13-21-28-12,True,2022-09-13 21:28:14.518324,,,Pipeline has been started.,experiment.csv,,,2022-09-13 21:28:14.518428
b44027fa-9510-4967-b3fa-81f203d9ce20,2022-09-13-21-28-12,2022-09-13-21-28-12,False,2022-09-13 21:28:14.518324,2022-09-13 21:28:57.430004,0 days 00:00:42.911680,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-13 21:28:57.430077
a49d951d-be2b-43f8-9578-06bf1c3c988d,2022-09-13-21-33-38,2022-09-13-21-33-38,True,2022-09-13 21:33:38.560742,,,Pipeline has been started.,experiment.csv,,,2022-09-13 21:33:38.560816
a49d951d-be2b-43f8-9578-06bf1c3c988d,2022-09-13-21-33-38,2022-09-13-21-33-38,False,2022-09-13 21:33:38.560742,2022-09-13 21:34:19.515511,0 days 00:00:40.954769,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-13 21:34:19.515608
4bcb8203-937d-4d9f-86e9-d428aa7a6639,2022-09-14-16-11-56,2022-09-14-16-11-56,True,2022-09-14 16:12:12.672261,,,Pipeline has been started.,experiment.csv,,,2022-09-14 16:12:12.672372
4bcb8203-937d-4d9f-86e9-d428aa7a6639,2022-09-14-16-11-56,2022-09-14-16-11-56,False,2022-09-14 16:12:12.672261,2022-09-14 16:13:29.140204,0 days 00:01:16.467943,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-14 16:13:29.140436
a6816a94-dd4e-4ed4-baf6-b8baaaf8b7a5,2022-09-15-10-26-02,2022-09-15-10-26-02,True,2022-09-15 10:26:02.855023,,,Pipeline has been started.,experiment.csv,,,2022-09-15 10:26:02.855210
a6816a94-dd4e-4ed4-baf6-b8baaaf8b7a5,2022-09-15-10-26-02,2022-09-15-10-26-02,False,2022-09-15 10:26:02.855023,2022-09-15 10:27:33.325946,0 days 00:01:30.470923,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-15 10:27:33.326119
05be8351-e7b9-40e5-87ea-c2e6d3367b84,2022-09-15-10-30-37,2022-09-15-10-30-37,True,2022-09-15 10:30:37.741031,,,Pipeline has been started.,experiment.csv,,,2022-09-15 10:30:37.741171
05be8351-e7b9-40e5-87ea-c2e6d3367b84,2022-09-15-10-30-37,2022-09-15-10-30-37,False,2022-09-15 10:30:37.741031,2022-09-15 10:32:11.852562,0 days 00:01:34.111531,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-15 10:32:11.852779
3da63314-37fb-4635-a24f-ff41e1a7bb41,2022-09-15-10-37-25,2022-09-15-10-37-25,True,2022-09-15 10:37:25.652587,,,Pipeline has been started.,experiment.csv,,,2022-09-15 10:37:25.652782
3da63314-37fb-4635-a24f-ff41e1a7bb41,2022-09-15-10-37-25,2022-09-15-10-37-25,False,2022-09-15 10:37:25.652587,2022-09-15 10:38:43.490953,0 days 00:01:17.838366,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-15 10:38:43.491172
eecb325c-1aca-4989-abd8-c219230ba410,2022-09-15-12-01-05,2022-09-15-12-01-05,True,2022-09-15 12:01:22.010080,,,Pipeline has been started.,experiment.csv,,,2022-09-15 12:01:22.010235
eecb325c-1aca-4989-abd8-c219230ba410,2022-09-15-12-01-05,2022-09-15-12-01-05,False,2022-09-15 12:01:22.010080,2022-09-15 12:02:38.795052,0 days 00:01:16.784972,Pipeline has been completed.,experiment.csv,0.6522812381877459,True,2022-09-15 12:02:38.795215
